Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4748,battlefield 2 modern combat,X360,2006.0,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41
4749,armored core 2 another age,PS2,2001.0,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41
4750,buzz! junior jungle party,PS2,2006.0,Misc,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
4751,mortal kombat deadly alliance,GC,2002.0,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41
4752,marvel ultimate alliance,Wii,2006.0,Role-Playing,Activision,0.37,0.01,0.0,0.03,0.41
4753,nba 2k11,PS2,2010.0,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41
4754,akb1/48 idol to koishitara...,PSP,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
4755,pro pinball,PS,1996.0,Misc,Empire Interactive,0.23,0.15,0.0,0.03,0.41
4756,98 koshien,PS,1998.0,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41
4757,nba 2k9,PS2,2008.0,Sports,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41
4758,yugioh! the eternal duelist soul jp sales,GBA,2001.0,Misc,Konami Digital Entertainment,0.0,0.0,0.4,0.01,0.41
4759,speed racer the videogame,Wii,2008.0,Racing,Warner Bros. Interactive Entertainment,0.36,0.02,0.0,0.03,0.41
4760,naughty bear,X360,2010.0,Action,505 Games,0.21,0.16,0.0,0.04,0.41
4761,littlest pet shop,Wii,2008.0,Simulation,Electronic Arts,0.34,0.04,0.0,0.03,0.41
4762,tna impact!,PS3,2008.0,Fighting,Midway Games,0.22,0.12,0.0,0.06,0.41
4763,just dance kids 2,X360,2011.0,Misc,Ubisoft,0.29,0.09,0.0,0.03,0.41
4764,duke nukem forever,PC,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41
4765,hatsune miku project diva 2nd,PSP,2010.0,Misc,Sega,0.0,0.0,0.41,0.0,0.41
4766,marvel ultimate alliance 2,PS2,2009.0,Role-Playing,Activision,0.23,0.02,0.0,0.16,0.41
4767,mario no super picross,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.41,0.0,0.41
4768,ed edd n eddy the misedventures,PS2,2005.0,Platform,Midway Games,0.34,0.01,0.0,0.06,0.41
4769,jikkyou powerful pro yakuu 94,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.41,0.0,0.41
4770,disneys tarzan untamed,PS2,2001.0,Platform,Ubisoft,0.2,0.16,0.0,0.05,0.41
4771,borderlands the handsome collection,XOne,2015.0,Shooter,Take-Two Interactive,0.24,0.13,0.0,0.04,0.41
4772,the gunstringer,X360,2011.0,Shooter,Microsoft Game Studios,0.26,0.11,0.0,0.04,0.41
4773,knockout kings 2001,PS,2000.0,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41
4774,from russia with love,PS2,2005.0,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41
4775,fifa soccer 13,PC,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41
4776,asuras wrath,PS3,2012.0,Action,Capcom,0.18,0.12,0.06,0.05,0.41
4777,avatar the game,DS,2009.0,Action,Ubisoft,0.19,0.18,0.0,0.04,0.41
4778,my virtual tutor reading adventure first to second grade,DS,2009.0,Misc,Mentor Interactive,0.38,0.0,0.0,0.03,0.41
4779,minority report everybody runs,PS2,2002.0,Action,Activision,0.2,0.15,0.0,0.05,0.41
4780,disneys hercules / disneys the jungle book groove party / a bugs life,PS,2003.0,Misc,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4
4781,nfl gameday 2002,PS,2001.0,Sports,Sony Computer Entertainment,0.23,0.15,0.0,0.03,0.4
4782,pengo,2600,1983.0,Adventure,Atari,0.38,0.02,0.0,0.0,0.4
4783,disney sing it! high school musical 3 senior year,PS3,2008.0,Misc,Disney Interactive Studios,0.08,0.26,0.0,0.07,0.4
4784,story of seasons,3DS,2014.0,Simulation,Nintendo,0.0,0.13,0.26,0.01,0.4
4785,beowulf the game,X360,2007.0,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4
4786,mouse trap,2600,1981.0,Action,Coleco,0.38,0.02,0.0,0.0,0.4
4787,super monkey ball step  roll,Wii,2010.0,Action,Sega,0.17,0.2,0.0,0.04,0.4
4788,hatsune miku project diva f 2nd,PSV,2014.0,Misc,Sega,0.13,0.06,0.16,0.06,0.4
4789,overlord,X360,2007.0,Strategy,Codemasters,0.34,0.03,0.01,0.03,0.4
4790,tak and the power of juju,GC,2003.0,Platform,THQ,0.31,0.08,0.0,0.01,0.4
4791,transformers the game xbox 360 ps2 ps3 wii  pc versions,PS3,2007.0,Action,Activision,0.32,0.04,0.01,0.04,0.4
4792,sega superstars tennis,PS3,2008.0,Sports,Sega,0.13,0.2,0.0,0.08,0.4
4793,lego harry potter years 57,3DS,2007.0,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.04,0.4
4794,dragon quest x,WiiU,2013.0,Role-Playing,Square Enix,0.0,0.0,0.4,0.0,0.4
4795,walle,PS3,2008.0,Platform,THQ,0.12,0.21,0.0,0.08,0.4
4796,medarot kabuto / kuwagata version,GB,1997.0,Role-Playing,Imagineer,0.0,0.0,0.4,0.0,0.4
4797,nba 2k10,PS2,2009.0,Sports,Take-Two Interactive,0.33,0.01,0.0,0.05,0.4
4798,defender,PS2,2002.0,Misc,Midway Games,0.2,0.15,0.0,0.05,0.4
4799,nfl gameday 2003,PS2,2007.0,Sports,Unknown,0.2,0.15,0.0,0.05,0.4
4800,wipeout 3 the game,Wii,2012.0,Action,Activision,0.38,0.0,0.0,0.03,0.4
4801,taiko no tatsujin wii dodon to 2 yome!,Wii,2009.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4
4802,thief 2014,PS3,2014.0,Action,Square Enix,0.1,0.2,0.02,0.08,0.4
4803,congo bongo,2600,1982.0,Action,Sega,0.37,0.02,0.0,0.0,0.4
4804,gauntlet seven sorrows,PS2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4
4805,harry potter quidditch world cup,GC,2003.0,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4
4806,advance wars dual strike,DS,2005.0,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4
4807,yugioh! 5ds stardust accelerator world championship 2009,DS,2009.0,Action,Konami Digital Entertainment,0.27,0.01,0.09,0.03,0.4
4808,warriors orochi 2 jp sales,PS2,2008.0,Action,Tecmo Koei,0.0,0.0,0.4,0.0,0.4
4809,wwe smackdown! vs. raw 2006,PSP,2005.0,Fighting,THQ,0.36,0.01,0.0,0.03,0.4
4810,the chronicles of narnia prince caspian,PS2,2008.0,Action,Disney Interactive Studios,0.2,0.15,0.0,0.05,0.4
4811,the incredibles rise of the underminer,GBA,2005.0,Action,THQ,0.29,0.11,0.0,0.01,0.4
4812,pet in tv,PS,1997.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.38,0.03,0.4
4813,battalion wars,GC,2005.0,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4
4814,nba shootout 2000,PS,1999.0,Sports,989 Studios,0.22,0.15,0.0,0.03,0.4
4815,power rangers dino thunder,GC,2004.0,Action,THQ,0.31,0.08,0.0,0.01,0.4
4816,rocksmith 2014,XOne,2014.0,Misc,Ubisoft,0.29,0.08,0.0,0.04,0.4
4817,samurai shodown,SNES,1994.0,Fighting,Takara,0.0,0.0,0.4,0.0,0.4
4818,nhl 15,XOne,2014.0,Sports,Electronic Arts,0.31,0.06,0.0,0.03,0.4
4819,tmnt,Wii,2007.0,Action,Ubisoft,0.34,0.03,0.0,0.03,0.4
4820,final fantasy crystal chronicles the crystal bearers,Wii,2009.0,Action,Square Enix,0.22,0.08,0.08,0.03,0.4
4821,cabelas big game hunter 2010,PS3,2009.0,Sports,Activision Value,0.37,0.0,0.0,0.03,0.4
4822,ea sports ufc 2,XOne,2016.0,Sports,Electronic Arts,0.23,0.14,0.0,0.04,0.4
4823,fighting vipers,SAT,1995.0,Fighting,Sega,0.0,0.0,0.4,0.0,0.4
4824,ncaa gamebreaker 2000,PS,1999.0,Sports,989 Studios,0.22,0.15,0.0,0.03,0.4
4825,iron man 2,PS3,2010.0,Action,Sega,0.14,0.19,0.0,0.07,0.4
4826,the legend of spyro dawn of the dragon,PS2,2008.0,Platform,Vivendi Games,0.12,0.01,0.0,0.27,0.4
4827,akb1/48 idol to guam de koishitara...,PSP,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4
4828,rr64 ridge racer 64,N64,1999.0,Racing,Nintendo,0.32,0.07,0.0,0.0,0.4
4829,top gear rally,N64,1997.0,Racing,Kemco,0.32,0.07,0.0,0.0,0.4
4830,nfl quarterback club 2000,N64,1999.0,Sports,Acclaim Entertainment,0.37,0.03,0.0,0.0,0.4
4831,mortal kombat mythologies subzero,N64,1997.0,Fighting,Midway Games,0.32,0.07,0.0,0.0,0.4
4832,18 wheeler american pro trucker,PS2,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4
4833,atari anthology,PS2,2004.0,Misc,Atari,0.33,0.01,0.0,0.05,0.4
4834,bugs bunny lost in time,PS,1999.0,Platform,Infogrames,0.22,0.15,0.0,0.03,0.4
4835,nba jam,X360,2010.0,Sports,Electronic Arts,0.27,0.1,0.0,0.03,0.4
4836,sherlock holmes the mystery of the mummy,DS,2009.0,Adventure,Focus Home Interactive,0.06,0.3,0.0,0.04,0.4
4837,hot wheels beat that!,PS2,2007.0,Racing,Activision,0.2,0.15,0.0,0.05,0.4
4838,mlb 2006,PS2,2005.0,Sports,Sony Computer Entertainment,0.33,0.01,0.0,0.05,0.4
4839,star wars the clone wars republic heroes,X360,2009.0,Action,LucasArts,0.18,0.17,0.0,0.04,0.4
4840,brunswick pro bowling,PS2,2007.0,Sports,505 Games,0.2,0.15,0.0,0.05,0.4
4841,mafia ii,PC,2010.0,Action,Take-Two Interactive,0.17,0.17,0.0,0.06,0.4
4842,rocket power dream scheme,GBA,2001.0,Action,THQ,0.29,0.11,0.0,0.01,0.4
4843,spongebobs truth or square us sales,Wii,2009.0,Action,THQ,0.38,0.01,0.0,0.0,0.4
4844,mx vs. atv unleashed,XB,2005.0,Racing,THQ,0.32,0.07,0.0,0.01,0.4
4845,rampage total destruction,GC,2006.0,Action,Midway Games,0.31,0.08,0.0,0.01,0.4
4846,planet 51,DS,2009.0,Action,Sega,0.22,0.14,0.0,0.04,0.4
4847,the urbz sims in the city,GC,2004.0,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4
4848,road rash jailbreak,PS,1999.0,Racing,Electronic Arts,0.22,0.15,0.0,0.03,0.4
4849,mother 3,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.39,0.01,0.4
4850,nicktoons freeze frame frenzy,GBA,2004.0,Action,THQ,0.29,0.11,0.0,0.01,0.4
4851,diner dash sizzle  serve,DS,2007.0,Puzzle,Eidos Interactive,0.34,0.03,0.0,0.03,0.4
4852,rapala pro bass fishing 2010,X360,2010.0,Sports,Activision,0.32,0.05,0.0,0.03,0.4
4853,legends of wrestlemania,X360,2009.0,Fighting,THQ,0.2,0.16,0.0,0.04,0.4
4854,wii sports club,WiiU,2014.0,Sports,Nintendo,0.19,0.14,0.04,0.03,0.4
4855,tomb raider anniversary,X360,2007.0,Action,Eidos Interactive,0.12,0.23,0.0,0.05,0.4
4856,you dont know jack,PS,1999.0,Misc,Vivendi Games,0.22,0.15,0.0,0.03,0.4
4857,mystery dungeon shiren the wanderer,SNES,1995.0,Role-Playing,ChunSoft,0.0,0.0,0.4,0.0,0.4
4858,sonic lost world,WiiU,2013.0,Platform,Sega,0.24,0.12,0.01,0.03,0.4
4859,condemned 2 bloodshot,PS3,2008.0,Action,Sega,0.17,0.16,0.0,0.07,0.4
4860,silent hill homecoming,PS3,2007.0,Action,Konami Digital Entertainment,0.18,0.15,0.0,0.06,0.4
4861,star wars clone wars,GC,2002.0,Shooter,Activision,0.31,0.08,0.0,0.01,0.4
4862,nba live 2002,XB,2001.0,Sports,Electronic Arts,0.35,0.03,0.0,0.02,0.4
4863,boku no natsuyasumi,PS,2000.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.37,0.03,0.4
4864,armored core v,PS3,2012.0,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.4
4865,ininja,PS2,2003.0,Platform,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.4
4866,command  conquer,PS,1996.0,Strategy,Virgin Interactive,0.22,0.15,0.0,0.03,0.4
4867,harvest moon save the homeland,PS2,2007.0,Simulation,Unknown,0.19,0.15,0.0,0.05,0.4
4868,nba jam,PS3,2010.0,Sports,Electronic Arts,0.22,0.12,0.0,0.06,0.4
4869,mass effect 2,PC,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.07,0.4
4870,sd gundam g generation seed,PS2,2004.0,Strategy,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4
4871,call of duty finest hour,GC,2004.0,Shooter,Activision,0.31,0.08,0.0,0.01,0.4
4872,scoobydoo! and the spooky swamp,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.26,0.1,0.0,0.03,0.4
4873,naruto path of the ninja,DS,2007.0,Role-Playing,D3Publisher,0.37,0.0,0.0,0.03,0.4
4874,rise of the tomb raider,X360,2015.0,Adventure,Square Enix,0.17,0.19,0.0,0.03,0.4
4875,hitman blood money,X360,2006.0,Action,Eidos Interactive,0.29,0.06,0.01,0.03,0.4
4876,tales of phantasia,SNES,1995.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4
4877,alpha protocol,X360,2010.0,Role-Playing,Sega,0.23,0.13,0.0,0.04,0.4
4878,suzuki tt superbikes,PS2,2005.0,Racing,Jester Interactive,0.33,0.01,0.0,0.05,0.4
4879,rumble roses,PS2,2004.0,Fighting,Konami Digital Entertainment,0.19,0.15,0.0,0.05,0.39
4880,just dance 2014,PS3,2013.0,Misc,Ubisoft,0.17,0.15,0.0,0.07,0.39
4881,fantastic four rise of the silver surfer,PS2,2007.0,Action,Take-Two Interactive,0.19,0.15,0.0,0.05,0.39
4882,ultimate spiderman,XB,2005.0,Action,Activision,0.26,0.11,0.0,0.02,0.39
4883,grid 2,PS3,2013.0,Racing,Codemasters,0.07,0.23,0.01,0.09,0.39
4884,lego the lord of the rings,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.19,0.17,0.0,0.03,0.39
4885,juiced 2 hot import nights,PS2,2007.0,Racing,THQ,0.19,0.15,0.01,0.05,0.39
4886,skylanders superchargers,PS3,2015.0,Action,Activision,0.15,0.18,0.0,0.06,0.39
4887,nhl 99,N64,1998.0,Sports,Electronic Arts,0.38,0.01,0.0,0.0,0.39
4888,nba 2k10,Wii,2009.0,Sports,Take-Two Interactive,0.36,0.0,0.0,0.03,0.39
4889,dungeon siege iii,PS3,2011.0,Role-Playing,Square Enix,0.17,0.14,0.03,0.06,0.39
4890,viking battle for asgard,PS3,2008.0,Action,Sega,0.14,0.18,0.0,0.07,0.39
4891,brunswick pro bowling,Wii,2007.0,Sports,505 Games,0.36,0.01,0.0,0.03,0.39
4892,monster jam urban assault,DS,2008.0,Racing,Activision,0.37,0.0,0.0,0.03,0.39
4893,danball senki,PSP,2011.0,Role-Playing,Level 5,0.0,0.0,0.39,0.0,0.39
4894,nascar heat,PS,2000.0,Racing,Hasbro Interactive,0.22,0.15,0.0,0.03,0.39
4895,bloody roar,PS,1997.0,Fighting,Virgin Interactive,0.22,0.15,0.0,0.03,0.39
4896,bump n jump,2600,1982.0,Racing,Mattel Interactive,0.37,0.02,0.0,0.0,0.39
4897,mobile suit gundam lost war chronicles,PS2,2002.0,Shooter,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39
4898,disneys brother bear,GBA,2003.0,Action,THQ,0.28,0.1,0.0,0.01,0.39
4899,naruto clash of ninja revolution 2,Wii,2008.0,Fighting,Tomy Corporation,0.34,0.02,0.0,0.03,0.39
4900,nba live 09,PS2,2008.0,Sports,Electronic Arts,0.32,0.01,0.01,0.05,0.39
4901,lego star wars iii the clone wars,PSP,2011.0,Action,LucasArts,0.14,0.17,0.0,0.09,0.39
4902,the house of the dead iii,XB,2002.0,Shooter,Sega,0.29,0.08,0.0,0.01,0.39
4903,rune factory frontier,Wii,2008.0,Role-Playing,Rising Star Games,0.18,0.14,0.04,0.04,0.39
4904,fire emblem fuuin no tsurugi,GBA,2002.0,Role-Playing,Nintendo,0.0,0.0,0.39,0.0,0.39
4905,spongebobs truth or square us sales,PSP,2009.0,Action,THQ,0.39,0.0,0.0,0.0,0.39
4906,fifa 12,3DS,2011.0,Sports,Electronic Arts,0.08,0.26,0.0,0.05,0.39
4907,energ gym rockets,DS,2008.0,Sports,Ubisoft,0.36,0.0,0.0,0.03,0.39
4908,the darkness ii,X360,2012.0,Shooter,Take-Two Interactive,0.24,0.12,0.0,0.03,0.39
4909,nba live 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.07,0.03,0.06,0.39
4910,laser blast,2600,1981.0,Action,Activision,0.37,0.02,0.0,0.0,0.39
4911,dancing with the stars we dance!,DS,2008.0,Misc,Activision,0.36,0.0,0.0,0.03,0.39
4912,locoroco,PSP,2006.0,Platform,Sony Computer Entertainment,0.14,0.05,0.16,0.04,0.39
4913,thrasher presents skate and destroy,PS,1998.0,Sports,Take-Two Interactive,0.22,0.15,0.0,0.03,0.39
4914,are you smarter than a 5th grader? make the grade,DS,2008.0,Misc,THQ,0.36,0.0,0.0,0.03,0.39
4915,donkey konga 2,GC,2004.0,Misc,Nintendo,0.3,0.08,0.0,0.01,0.39
4916,just dance 2014,PS4,2013.0,Misc,Ubisoft,0.18,0.16,0.0,0.05,0.39
4917,metal gear solid the legacy collection,PS3,2013.0,Adventure,Konami Digital Entertainment,0.31,0.01,0.03,0.05,0.39
4918,tear ring saga yutona eiyuu senki,PS,2001.0,Role-Playing,Enterbrain,0.0,0.0,0.37,0.03,0.39
4919,project x zone,3DS,2012.0,Role-Playing,Namco Bandai Games,0.18,0.04,0.15,0.02,0.39
4920,red faction armageddon,X360,2011.0,Shooter,THQ,0.18,0.17,0.01,0.04,0.39
4921,wipeout 2048,PSV,2012.0,Racing,Sony Computer Entertainment,0.14,0.19,0.0,0.06,0.39
4922,need for speed nitro,DS,2009.0,Racing,Electronic Arts,0.22,0.13,0.0,0.04,0.39
4923,mystery case files the malgrave incident,Wii,2011.0,Adventure,Nintendo,0.19,0.17,0.0,0.03,0.39
4924,yoshi touch  go,DS,2005.0,Platform,Nintendo,0.34,0.02,0.0,0.03,0.39
4925,ea sports active 2,X360,2010.0,Sports,Electronic Arts,0.18,0.17,0.0,0.04,0.39
4926,combat of giants dinosaurs 3d,3DS,2011.0,Strategy,Ubisoft,0.25,0.06,0.05,0.03,0.39
4927,taiko no tatsujin wii ketteiban,Wii,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39
4928,age of empires iii,PC,2005.0,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39
4929,ssx 3,XB,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.39
4930,mlb 15 the show,PS3,2015.0,Sports,Sony Computer Entertainment,0.3,0.01,0.0,0.07,0.39
4931,madden nfl 2005,GBA,2004.0,Sports,Electronic Arts,0.28,0.1,0.0,0.01,0.39
4932,allstar baseball 2000,N64,1999.0,Sports,Acclaim Entertainment,0.36,0.03,0.0,0.0,0.39
4933,custom robo v2,N64,2000.0,Fighting,Nintendo,0.0,0.0,0.34,0.05,0.39
4934,extremeg xg2,N64,1998.0,Racing,Acclaim Entertainment,0.31,0.07,0.0,0.0,0.39
4935,battletanx global assault,N64,1999.0,Action,3DO,0.31,0.07,0.0,0.0,0.39
4936,robert ludlums the bourne conspiracy,PS3,2007.0,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39
4937,chibirobo! plug into adventure!,GC,2005.0,Adventure,Nintendo,0.23,0.06,0.09,0.01,0.39
4938,dawn of discovery,PC,2009.0,Simulation,Ubisoft,0.0,0.32,0.0,0.07,0.39
4939,jampack winter 2003 rpt,PS2,2003.0,Misc,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.39
4940,dancing with the stars we dance!,Wii,2008.0,Misc,Activision,0.36,0.0,0.0,0.03,0.39
4941,kengo master of bushido,PS2,2000.0,Fighting,Ubisoft,0.16,0.13,0.06,0.04,0.39
4942,blood omen 2,PS2,2002.0,Action,Eidos Interactive,0.19,0.15,0.0,0.05,0.39
4943,sesame street elmos atozoo adventure,Wii,2010.0,Misc,Warner Bros. Interactive Entertainment,0.37,0.0,0.0,0.02,0.39
4944,skylanders giants,WiiU,2012.0,Action,Activision,0.23,0.12,0.0,0.04,0.39
4945,just dance 4,WiiU,2012.0,Misc,Ubisoft,0.22,0.14,0.0,0.03,0.39
4946,super fire prowrestling,SNES,1991.0,Fighting,Human Entertainment,0.0,0.0,0.39,0.0,0.39
4947,cabelas dangerous hunts 2,PS2,2005.0,Sports,Activision,0.19,0.15,0.0,0.05,0.39
4948,marvel ultimate alliance,PS3,2006.0,Role-Playing,Activision,0.33,0.02,0.0,0.04,0.39
4949,spongebob vs the big one beach party cook off,DS,2009.0,Adventure,THQ,0.24,0.11,0.0,0.04,0.39
4950,motogp 08,PS3,2008.0,Racing,Capcom,0.07,0.24,0.0,0.08,0.39
4951,imagine party babyz,Wii,2008.0,Simulation,Ubisoft,0.34,0.02,0.0,0.03,0.39
4952,chessmaster,PS2,2003.0,Misc,Ubisoft,0.19,0.15,0.0,0.05,0.39
4953,tiger woods pga tour 14,PS3,2013.0,Sports,Electronic Arts,0.16,0.15,0.0,0.07,0.39
4954,fatal fury,SNES,1992.0,Fighting,Takara,0.0,0.0,0.39,0.0,0.39
4955,farming simulator 2013,X360,2013.0,Simulation,Focus Home Interactive,0.22,0.13,0.0,0.03,0.39
4956,from tv animation one piece yume no lufy kaizokudan tanjou!,GB,2001.0,Role-Playing,Banpresto,0.0,0.0,0.39,0.0,0.39
4957,the dog island,Wii,2007.0,Adventure,Ubisoft,0.35,0.01,0.0,0.03,0.39
4958,madden nfl football,3DS,2011.0,Sports,Electronic Arts,0.36,0.01,0.0,0.03,0.39
4959,the sims 2,GBA,2005.0,Simulation,Electronic Arts,0.28,0.1,0.0,0.01,0.39
4960,ice age 2 the meltdown,PS2,2006.0,Platform,Vivendi Games,0.19,0.15,0.0,0.05,0.39
4961,mlb 14 the show,PS3,2014.0,Sports,Sony Computer Entertainment America,0.35,0.0,0.0,0.04,0.39
4962,super famista 3,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39
4963,auto modellista,PS2,2002.0,Racing,Capcom,0.19,0.15,0.0,0.05,0.39
4964,tom clancys ghost recon 2 summit strike,XB,2005.0,Shooter,Ubisoft,0.29,0.08,0.0,0.01,0.39
4965,junior classic games,DS,2009.0,Misc,Avanquest,0.26,0.09,0.0,0.03,0.39
4966,hooked! again real motion fishing,Wii,2009.0,Sports,505 Games,0.36,0.0,0.0,0.03,0.39
4967,tiger woods pga tour 08,PS2,2007.0,Sports,Electronic Arts,0.19,0.15,0.0,0.05,0.39
4968,karaoke revolution presents american idol encore,PS2,2008.0,Misc,Konami Digital Entertainment,0.19,0.15,0.0,0.05,0.39
4969,airlock,2600,1981.0,Action,Data Age,0.36,0.02,0.0,0.0,0.39
4970,tokimeki memorial 2,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.36,0.03,0.39
4971,samurai warriors chronicles,3DS,2011.0,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
4972,tomb raider legend,X360,2006.0,Action,Eidos Interactive,0.27,0.08,0.01,0.03,0.39
4973,ice age dawn of the dinosaurs,DS,2009.0,Action,Activision,0.2,0.15,0.0,0.04,0.39
4974,dance party pop hits,Wii,2009.0,Misc,Nordic Games,0.0,0.36,0.0,0.02,0.39
4975,harry potter quidditch world cup,GBA,2003.0,Sports,Electronic Arts,0.28,0.1,0.0,0.01,0.39
4976,jam sessions sing and play guitar us sales,DS,2007.0,Misc,Ubisoft,0.38,0.0,0.0,0.0,0.38
4977,saints row iv,PS4,2015.0,Action,Deep Silver,0.13,0.17,0.03,0.06,0.38
4978,evil dead fistfull of boomstick,PS2,2003.0,Action,THQ,0.19,0.15,0.0,0.05,0.38
4979,one piece unlimited world red,3DS,2013.0,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.38
4980,phantasy star ø,DS,2008.0,Role-Playing,Sega,0.16,0.0,0.2,0.01,0.38
4981,triple play 97,PS,1996.0,Sports,Electronic Arts Victor,0.21,0.15,0.0,0.03,0.38
4982,virtua tennis 2009,PS3,2009.0,Sports,Sega,0.09,0.23,0.0,0.07,0.38
4983,super soccer,SNES,1991.0,Sports,Nintendo,0.0,0.0,0.38,0.0,0.38
4984,shin megami tensei nocturne,PS2,2003.0,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,0.38
4985,wario land ii gbc,GB,1998.0,Platform,Nintendo,0.0,0.0,0.38,0.0,0.38
4986,san francisco rush extreme racing,PS,1997.0,Racing,GT Interactive,0.21,0.15,0.0,0.03,0.38
4987,dragons crown,PSV,2013.0,Role-Playing,Nippon Ichi Software,0.16,0.05,0.12,0.05,0.38
4988,bakusou dekotora densetsu otoko ippiki yume kaidoi,PS,1998.0,Racing,Human Entertainment,0.0,0.0,0.36,0.03,0.38
4989,imagine salon stylist,DS,2009.0,Simulation,Ubisoft,0.24,0.11,0.0,0.04,0.38
4990,espn college hoops 2k5,XB,2004.0,Sports,Sega,0.29,0.08,0.0,0.01,0.38
4991,looney tunes acme arsenal,PS2,2007.0,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0.0,0.05,0.38
4992,cabelas dangerous hunts 2009,Wii,2008.0,Sports,Activision Value,0.36,0.0,0.0,0.03,0.38
4993,fragile dreams farewell ruins of the moon,Wii,2009.0,Role-Playing,Rising Star Games,0.17,0.12,0.06,0.03,0.38
4994,sd gundam g generation spirits,PS2,2007.0,Strategy,Namco Bandai Games,0.0,0.0,0.38,0.0,0.38
4995,batman arkham city,WiiU,2012.0,Action,Warner Bros. Interactive Entertainment,0.17,0.18,0.0,0.03,0.38
4996,disney sing it,PS3,2008.0,Misc,Disney Interactive Studios,0.27,0.07,0.0,0.04,0.38
4997,peppa pig the game,Wii,2009.0,Misc,Pinnacle,0.0,0.35,0.0,0.03,0.38
4998,god eater 2 rage burst,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.01,0.37,0.0,0.38
4999,get fit with mel b,PS3,2010.0,Sports,Black Bean Games,0.15,0.17,0.0,0.07,0.38
5000,the cat in the hat,GBA,2005.0,Platform,Jack of All Games,0.27,0.1,0.0,0.01,0.38
5001,naruto shippuden ultimate ninja heroes 3,PSP,2009.0,Fighting,Namco Bandai Games,0.13,0.04,0.19,0.03,0.38
5002,nfl gameday 2002,PS2,2001.0,Sports,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.38
5003,turok evolution,GC,2002.0,Shooter,Acclaim Entertainment,0.3,0.08,0.0,0.01,0.38
5004,destiny the taken king,X360,2015.0,Shooter,Activision,0.22,0.12,0.0,0.03,0.38
5005,tamagotchi connection corner shop 3,DS,2007.0,Simulation,Atari,0.07,0.0,0.31,0.01,0.38
5006,mobile suit gundam giren no yabou zeon dokuritsu sensouden,PS2,2002.0,Strategy,Namco Bandai Games,0.0,0.0,0.38,0.0,0.38
5007,ice age,GBA,2002.0,Action,Ubisoft,0.27,0.1,0.0,0.01,0.38
